SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
2;1010;Ayas_-_Alpe_Courthoud;7.715099812;45.87379837;2108;0;OD:1010;NA;2;NA
28;1290;Gressoney-Saint-Jean_-_Capoluogo;7.832520008;45.76750183;1405;0;OD:1290;NA;2;NA
39;1420;Nus_-_Porliod;7.4929800029999996;45.80179977;1928;0;OD:1420;NA;2;NA
51;1560;Roisan_-_Moulin_Closellinaz;7.306099892;45.78649902;801;0;OD:1560;NA;2;NA
59;1640;Valpelline_-_Prel?;7.369040012;45.83769989;1172;0;OD:1640;NA;2;NA
61;1660;Valsavarenche_-_Mol?re;7.202109814;45.64720154;1347;0;OD:1660;NA;2;NA
68;1740;Pr?-Saint-Didier_-_Capoluogo_Valle;6.991919994;45.76319885;1097;0;OD:1740;NA;2;NA
99;4400;Ayas_-_Mandriou;7.687809944;45.82369995;1808;0;OD:4400;NA;2;NA
1;1000;Arvier_-_Chamen?on;7.107460022;45.67839813;1392;0;OD:1000;NA;2;NA
3;1020;Aymavilles_-_Centrale_idroelettrica_;7.252590179;45.71080017;638;0;OD:1020;NA;2;NA
4;1030;Aymavilles_-_Vieyes;7.250830173;45.64970016;1538;0;OD:1030;NA;2;NA
5;1040;Bionaz_-_Place_Moulin;7.491960049;45.89970016;2155;0;OD:1040;NA;2;NA
7;1060;Brusson_-_Extrapieraz;7.697539806;45.78039932;1400;0;OD:1060;NA;2;NA
9;1080;Chamois_-_Lac_de_Lou;7.622859955;45.8445015;2030;0;OD:1080;NA;2;NA
10;1090;Champdepraz_-_Chevr?re;7.613409996;45.6833992;1464;0;OD:1090;NA;2;NA
11;1100;Champdepraz_-_Ponte_Dora_Baltea;7.67373991;45.68180084;382;0;OD:1100;NA;2;NA
12;1110;Champorcher_-_Chardonney;7.608779907;45.62060165;1519;0;OD:1110;NA;2;NA
13;1120;Champorcher_-_Rifugio_Dondena;7.551869869;45.61230087;2143;0;OD:1120;NA;2;NA
14;1130;Cogne_-_Cr?taz;7.340509892;45.61449814;1578;0;OD:1130;NA;2;NA
15;1140;Cogne_-_Lillaz;7.391439915;45.59529877;1698;0;OD:1140;NA;2;NA
16;1150;Cogne_-_Valnontey;7.337329865;45.58560181;1758;0;OD:1150;NA;2;NA
17;1160;Cogne_-_Grand-Crot;7.370120049;45.58940125;2249;0;OD:1160;NA;2;NA
18;1170;Courmayeur_-_Ferrachet;7.28920174;45.86640167;2567;0;OD:1170;NA;2;NA
19;1190;Courmayeur_-_Lex_Blanche;6.838280201;45.76639938;2118;0;OD:1190;NA;2;NA
20;1200;Courmayeur_-_Mont_de_la_Saxe;6.980350018;45.81620026;2076;0;OD:1200;NA;2;NA
21;1220;Courmayeur_-_Pr?-de-Bard;7.64730167;45.88359833;2066;0;OD:1220;NA;2;NA
22;1230;F?nis_-_Clavalit?;7.49737978;45.6867981;1515;0;OD:1230;NA;2;NA
23;1240;F?nis_-_Lavodilec;7.483920097;45.64379883;2035;0;OD:1240;NA;2;NA
24;1250;Gressan_-_Pila-Leiss?;7.308869839;45.66429901;2261;0;OD:1250;NA;2;NA
25;1260;Gressoney-La-Trinit?_-_Alpe_Courtlys;7.807459831;45.86859894;2095;0;OD:1260;NA;2;NA
26;1270;Gressoney-La-Trinit?_-_Eselbode;7.825890064;45.83060074;1837;0;OD:1270;NA;2;NA
27;1280;Gressoney-La-Trinit?_-_Gabiet;7.84882021;45.85219955;2380;0;OD:1280;NA;2;NA
29;1300;Gressoney-Saint-Jean_-_Weissmatten;7.825069904;45.74840164;1917;0;OD:1300;NA;2;NA
30;1310;H?ne_-_Ponte_Dora_Baltea;7.739960194;45.61719894;404;0;OD:1310;NA;2;NA
31;1320;Issime_-_Capoluogo;7.856239796;45.68730164;975;0;OD:1320;NA;2;NA
32;1330;La_Thuile_-_Foillex;6.971260071;45.71730042;1912;0;OD:1330;NA;2;NA
33;1340;La_Thuile_-_La_Grande_T?te;6.915160179;45.68280029;2478;0;OD:1340;NA;2;NA
34;1360;La_Thuile_-_Villaret;6.955989838;45.70899963;1513;0;OD:1360;NA;2;NA
35;1370;Lillianes_-_Granges;7.856379986;45.62789917;1171;0;OD:1370;NA;2;NA
37;1390;Morgex_-_Lavancher;7.17960072;45.79520035;2810;0;OD:1390;NA;2;NA
40;1430;Nus_-_Les_Iles;7.438210011;45.73889923;558;0;OD:1430;NA;2;NA
41;1440;Ollomont_-_By;7.300680161;45.88140106;1846;0;OD:1440;NA;2;NA
42;1450;Pollein_-_Grande_Place;7.360010147;45.7356987;549;0;OD:1450;NA;2;NA
44;1470;Pontboset_-_Fournier;7.679920197;45.604599;1000;0;OD:1470;NA;2;NA
45;1480;Pontey_-_Ponte_Dora_Baltea;7.616419792;45.74629974;506;0;OD:1480;NA;2;NA
46;1490;Pr?-Saint-Didier_-_Capoluogo;6.990799904;45.76290131;1071;0;OD:1490;NA;2;NA
47;1500;Pr?-Saint-Didier_-_Plan_Praz;6.952700138;45.75799942;2296;0;OD:1500;NA;2;NA
48;1520;Rh?mes-Notre-Dame_-_Chanavey;7.123400211;45.5788002;1728;0;OD:1520;NA;2;NA
49;1530;Rh?mes-Saint-Georges_-_Feleumaz;7.121409893;45.60749817;2368;0;OD:1530;NA;2;NA
50;1550;Rh?mes-Saint-Georges_-_Capoluogo_;7.152609825;45.64970016;1239;0;OD:1550;NA;2;NA
52;1570;Saint-Oyen_-_Moulin;7.208730221;45.82089996;1373;0;OD:1570;NA;2;NA
54;1590;Saint-Rh?my-en-Bosses_-_Cr?vacol;7.155910015;45.82910156;2053;0;OD:1590;NA;2;NA
55;1600;Saint-Rh?my-en-Bosses_-_Gran_San_Bernardo;7.15252018;45.86849976;2471;0;OD:1600;NA;2;NA
56;1610;Saint-Rh?my-en-Bosses_-_Mont-Botzalet;7.147799969;45.840400700000004;2388;0;OD:1610;NA;2;NA
57;1620;Valgrisenche_-_Menthieu;7.52519798;45.61370087;1777;0;OD:1620;NA;2;NA
58;1630;Valpelline_-_Chosoz;7.339650154;45.82690048;1138;0;OD:1630;NA;2;NA
60;1650;Valsavarenche_-_Eaux-Rousses;7.208370209;45.56679916;1769;0;OD:1650;NA;2;NA
62;1670;Valsavarenche_-_Orvieille;7.191979885;45.57989883;1991;0;OD:1670;NA;2;NA
63;1690;Valtournenche_-_Cime_Bianche;7.69148016;45.91820145;3018;0;OD:1690;NA;2;NA
64;1700;Valtournenche_-_Lago_Goillet;7.662129879;45.93119812;2522;0;OD:1700;NA;2;NA
65;1710;Valtournenche_-_Grandes_Murailles;7.601970196;45.92910004;2410;0;OD:1710;NA;2;NA
66;1720;Valtournenche_-_Maen;7.611189842;45.86259842;1370;0;OD:1720;NA;2;NA
67;1730;Ayas_-_Alpe_Aventine;7.719260216;45.87400055;1990;0;OD:1730;NA;2;NA
77;3000;Verr?s_-_Capoluogo;7.686039925;45.66519928;376;0;OD:3000;NA;2;NA
78;3010;Saint-Denis_-_Raffort;7.576429844;45.74990082;1105;0;OD:3010;NA;2;NA
79;3020;Villeneuve_-_S.R._Saint-Nicolas;7.207419872;45.70740128;752;0;OD:3020;NA;2;NA
80;3030;Morgex_-_Capoluogo;7.38499832;45.75839996;1046;0;OD:3030;NA;2;NA
81;3040;Gressoney-Saint-Jean_-_Bieltschocke;7.833069801;45.76739883;1405;0;OD:3040;NA;2;NA
82;3050;Champorcher_-_Petit-Mont-Blanc;7.609489918;45.62469864;1760;0;OD:3050;NA;2;NA
83;3060;Rh?mes-Notre-Dame_-_Chaudanne;7.113770008;45.5603981;1799;0;OD:3060;NA;2;NA
84;3070;Valsavarenche_-_Pont;7.200960159;45.52679825;2030;0;OD:3070;NA;2;NA
85;3080;Nus_-_Saint-Barth?lemy_-_Osservatorio;7.478079796;45.79000092;1611;0;OD:3080;NA;2;NA
88;3110;Courmayeur_-_Dolonne;6.966549873;45.79430008;1236;0;OD:3110;NA;2;NA
89;3120;Saint-Vincent_-_Terme;7.652629852;45.74950027;623;0;OD:3120;NA;2;NA
96;3590;Valtournenche_-_Breuil_Cervinia;7.62624979;45.9314003;2103;0;OD:3590;NA;2;NA
97;3600;Ayas_-_Champoluc;7.728233814;45.83677673;1601;0;OD:3600;NA;2;NA
98;4090;Saint-Christophe_-_Aeroporto;7.363540173;45.73929977;549;0;OD:4090;NA;2;NA
101;G003;Pontboset;7.68318;45.608818;943;1;OD:G003;NA;2;NA
104;G006;Issime Grand-Praz;7.85904;45.672474;1082;1;OD:G006;NA;2;NA
105;G007;Valgrisenche Diga;7.6073;45.618874;1832;1;OD:G007;NA;2;NA
106;G008;Gressoney-L.T. D'Ejola;7.8149;45.856062;1823;1;OD:G008;NA;2;NA
